Timestamp(ns);Rotation_X(rad);Rotation_Y(rad);Rotation_Z(rad);Position_X(m);Position_Y(m);Position_Z(m);
3993981783813; 0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
3993998506332; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994015129634; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994032115159; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994065144516; 0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3994081792623; 0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3994098417209; 0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3994115503660; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994131697171; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994148340573; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994165516831; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994198364009; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994215039485; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994231780820; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994248395997; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994265019727; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994281766622; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994298773102; 0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3994331776800; 0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
3994348371877; 0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
3994365083277; 0.01; 0.07; 0.05; 0.01; 0.01; 0.00;
3994381643714; 0.01; 0.07; 0.05; 0.01; 0.01; 0.00;
3994398385904; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994415001082; 0.01; 0.07; 0.04; 0.01; 0.01; 0.00;
3994432017825; 0.01; 0.07; 0.04; 0.00; 0.01; 0.00;
3994465022379; 0.01; 0.07; 0.04; 0.00; 0.01; 0.00;
3994481759437; 0.01; 0.07; 0.04; 0.00; 0.01; 0.00;
3994498267273; 0.01; 0.07; 0.04; 0.00; 0.01; 0.00;
3994514972258; 0.01; 0.07; 0.04; 0.00; 0.01; 0.00;
3994531615233; 0.01; 0.07; 0.04; 0.00; 0.01; 0.00;
3994548274458; 0.01; 0.07; 0.04; 0.00; 0.01; 0.00;
3994581617285; 0.01; 0.07; 0.05; 0.00; 0.01; 0.00;
3994598322270; 0.01; 0.07; 0.05; 0.00; 0.01; 0.00;
3994614898103; 0.01; 0.07; 0.05; 0.00; 0.01; 0.00;
3994631621476; 0.01; 0.07; 0.04; 0.00; 0.01; 0.00;
